imagename,image_url,score,500A,500B,1A,1B,3A,3B,10A,10B,gist_url
sci348.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci348.png,1.94,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci348.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci348.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/2-sci348.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci348.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci348.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio149.png
sci753.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci753.png,1.92,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci753.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/46-sci753.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/5-sci753.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci753.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio311.png
sci151.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci151.png,1.9,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci151.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci151.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/23-sci151.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/11-sci151.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci151.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio64.png
sci1144.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci1144.png,1.86,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/39-sci1144.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci1144.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/6-sci1144.png,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/33-sci1144.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci1144.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio499.png
sci872.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci872.png,1.81,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci872.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/44-sci872.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci872.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio367.png
sci454.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci454.png,1.8,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci454.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/48-sci454.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/3-sci454.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci454.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio216.png
sci2266.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2266.png,1.8,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/41-sci2266.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/45-sci2266.png,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/32-sci2266.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/10-sci2266.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/30-sci2266.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio841.png
sci773.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci773.png,1.78,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci773.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci773.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci773.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/27-sci773.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio322.png
sci339.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci339.png,1.77,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/38-sci339.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/47-sci339.png,none,none,none,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/7-sci339.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci339.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio148.png
sci2268.png,http://web.cse.ohio-state.edu/~li.8950/data/image/scivis1k/sci2268.png,1.77,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/40-sci2268.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/43-sci2268.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/1-sci2268.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/18-sci2268.png,none,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/8-sci2268.png,http://web.cse.ohio-state.edu/~li.8950/data/image/RSNAdraw/25-sci2268.png,http://web.cse.ohio-state.edu/~li.8950/data/image/gistResults/gist-bio843.png
