filename,imagename,imageID,url,isTarget,hit,miss,fa,cr,name,HR,FAR,imagename,score,group,index,count,responseCount,Feature congestion,Entropy,Number of edges,fileindex,0
2011 Ruiz 10.1109/TVCG.2011.173 c 8.png,bio492.png,I843,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio492.png,1,43,15,15,204,I843,0.7414,0.0685,bio492.png,2.134723625,1,843,208,81,3.3172,5.0812,8.3727,97,97
2016 Smit 10.1109/TVCG.2016.2598826 c 1.png,bio801.png,I907,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio801.png,1,28,27,4,218,I907,0.5091,0.018,bio801.png,2.119739725,1,907,200,77,2.2565,4.7628,2.338,161,161
2013 Zhang 10.1109/TVCG.2013.172 c 2.png,bio629.png,I874,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio629.png,1,48,12,23,204,I874,0.8,0.1013,bio629.png,2.115800194,1,874,201,77,1.667,3.4946,5.2967,128,128
2009 Jeong 10.1109/TVCG.2009.178 c 7.png,bio229.png,I788,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio229.png,1,33,16,11,210,I788,0.6735,0.0498,bio229.png,2.09639438,1,788,194,78,4.0716,6.6753,10.1306,42,42
2014 Ju 10.1109/TVCG.2014.2346412 c 1.png,bio684.png,I883,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio684.png,1,33,41,3,230,I883,0.4459,0.0129,bio684.png,2.09318211,1,883,202,61,1.982,2.6531,6.1365,137,137
2013 Zhang 10.1109/TVCG.2013.172 c 1.png,bio628.png,I873,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio628.png,1,53,21,14,204,I873,0.7162,0.0642,bio628.png,2.092031366,1,873,183,71,1.5035,2.3968,5.4296,127,127
2014 Lindow 10.1109/TVCG.2014.2346404 c 3.png,bio700.png,I887,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio700.png,1,21,52,1,248,I887,0.2877,0.004,bio700.png,2.091953342,1,887,221,80,3.2196,3.3916,3.2432,141,141
2010 Saad 10.1109/TVCG.2010.152 c 11.png,bio351.png,I816,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio351.png,1,37,38,4,222,I816,0.4933,0.0177,bio351.png,2.086957785,1,816,194,70,2.6289,2.4476,3.517,70,70
2014 Mirzargar 10.1109/TVCG.2014.2346455 c 9.png,bio707.png,I889,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio707.png,1,26,35,3,241,I889,0.4262,0.0123,bio707.png,2.061569677,1,889,202,61,4.1144,5.1516,6.4766,143,143
2010 Tikhonova 10.1109/TVCG.2010.215a c 1.png,bio360.png,I820,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio360.png,1,52,16,22,221,I820,0.7647,0.0905,bio360.png,2.059185527,1,820,189,67,3.684,6.9092,9.5925,74,74
2008 Wang 10.1109/TVCG.2008.132 c 3.png,bio144.png,I769,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio144.png,1,35,22,9,221,I769,0.614,0.0391,bio144.png,2.050986746,1,769,176,77,3.9267,4.8688,4.8123,23,23
2012 Jönsson 10.1109/TVCG.2012.232 c 1.png,bio534.png,I855,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio534.png,1,45,9,31,191,I855,0.8333,0.1396,bio534.png,2.049406384,1,855,177,69,4.5681,6.5632,7.1751,109,109
2008 Bürger 10.1109/TVCG.2008.120 c 6.png,bio6.png,I747,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio6.png,1,40,18,15,218,I747,0.6897,0.0644,bio6.png,2.013851191,1,747,158,71,3.4047,5.7481,8.6293,1,1
2012 Fout 10.1109/TVCG.2012.22 c 2.png,bio514.png,I849,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio514.png,1,40,30,8,228,I849,0.5714,0.0339,bio514.png,2.006273362,1,849,161,67,3.8691,5.3438,7.8787,103,103
2013 Jackson 10.1109/TVCG.2013.121 c 12.png,bio590.png,I864,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio590.png,1,53,18,22,223,I864,0.7465,0.0898,bio590.png,2.005503862,1,864,186,79,2.4462,6.5296,13.3783,118,118
2009 Zhou 10.1109/TVCG.2009.120 c 1.png,bio287.png,I804,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio287.png,1,36,27,8,223,I804,0.5714,0.0346,bio287.png,1.997051358,1,804,155,69,2.8408,6.2194,8.5305,58,58
2013 Köhler 10.1109/TVCG.2013.189 c 5.png,bio605.png,I868,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio605.png,1,38,22,11,212,I868,0.6333,0.0493,bio605.png,1.99228531,1,868,142,84,5.5384,6.4112,5.9687,122,122
2017 Klein 10.1109/TVCG.2017.2744258 c 11.png,bio834.png,I914,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio834.png,1,33,35,5,228,I914,0.4853,0.0215,bio834.png,1.986854213,1,914,150,74,2.7004,5.9526,16.9543,168,168
2013 Jackson 10.1109/TVCG.2013.121 c 9.png,bio598.png,I865,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio598.png,1,49,17,21,210,I865,0.7424,0.0909,bio598.png,1.985995511,1,865,149,81,2.0655,5.786,9.6242,119,119
2015 Weiss 10.1109/TVCG.2015.2467412 c 1.png,bio770.png,I902,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio770.png,1,30,32,5,228,I902,0.4839,0.0215,bio770.png,1.983342315,1,902,146,73,2.8544,6.353,6.4696,156,156
2008 Schultz 10.1109/TVCG.2008.128 c 3.png,bio109.png,I765,http://web.cse.ohio-state.edu/~li.8950/data/image/bio768/bio109.png,1,39,30,9,252,I765,0.5652,0.0345,bio109.png,1.982586355,1,765,149,76,3.2683,6.9573,6.5281,19,19
